date;hour;wday;variable;sensor;value;variable_SINCA;sensor_SINCA;value_SINCA
04-06-2025 14:00;14;mié\,;PM25;P4;215,1;PM25;SINCA;77
04-06-2025 14:00;14;mié\,;PM25;P5;221,833;PM25;SINCA;77
04-06-2025 15:00;15;mié\,;PM25;P1;192,067;PM25;SINCA;81
04-06-2025 15:00;15;mié\,;PM25;P2;202,883;PM25;SINCA;81
04-06-2025 15:00;15;mié\,;PM25;P3;197,867;PM25;SINCA;81
04-06-2025 15:00;15;mié\,;PM25;P4;212,417;PM25;SINCA;81
04-06-2025 15:00;15;mié\,;PM25;P5;215,033;PM25;SINCA;81
04-06-2025 16:00;16;mié\,;PM25;P1;180,55;PM25;SINCA;68
04-06-2025 16:00;16;mié\,;PM25;P2;190,133;PM25;SINCA;68
04-06-2025 16:00;16;mié\,;PM25;P3;185,333;PM25;SINCA;68
04-06-2025 16:00;16;mié\,;PM25;P4;201,267;PM25;SINCA;68
04-06-2025 16:00;16;mié\,;PM25;P5;200,583;PM25;SINCA;68
04-06-2025 17:00;17;mié\,;PM25;P1;187,65;PM25;SINCA;74
04-06-2025 17:00;17;mié\,;PM25;P2;193,117;PM25;SINCA;74
04-06-2025 17:00;17;mié\,;PM25;P3;186,133;PM25;SINCA;74
04-06-2025 17:00;17;mié\,;PM25;P4;211,717;PM25;SINCA;74
04-06-2025 17:00;17;mié\,;PM25;P5;208,25;PM25;SINCA;74
04-06-2025 18:00;18;mié\,;PM25;P1;191,417;PM25;SINCA;69
04-06-2025 18:00;18;mié\,;PM25;P2;196,583;PM25;SINCA;69
04-06-2025 18:00;18;mié\,;PM25;P3;185,15;PM25;SINCA;69
04-06-2025 18:00;18;mié\,;PM25;P4;216,867;PM25;SINCA;69
04-06-2025 18:00;18;mié\,;PM25;P5;207,383;PM25;SINCA;69
04-06-2025 19:00;19;mié\,;PM25;P1;194,5;PM25;SINCA;70
04-06-2025 19:00;19;mié\,;PM25;P2;200,267;PM25;SINCA;70
04-06-2025 19:00;19;mié\,;PM25;P3;187,6;PM25;SINCA;70
04-06-2025 19:00;19;mié\,;PM25;P4;224,633;PM25;SINCA;70
04-06-2025 19:00;19;mié\,;PM25;P5;210,667;PM25;SINCA;70
04-06-2025 20:00;20;mié\,;PM25;P1;190,917;PM25;SINCA;68
04-06-2025 20:00;20;mié\,;PM25;P2;197,417;PM25;SINCA;68
04-06-2025 20:00;20;mié\,;PM25;P3;184,817;PM25;SINCA;68
04-06-2025 20:00;20;mié\,;PM25;P4;222,317;PM25;SINCA;68
04-06-2025 20:00;20;mié\,;PM25;P5;208,75;PM25;SINCA;68
04-06-2025 21:00;21;mié\,;PM25;P1;184,85;PM25;SINCA;60
04-06-2025 21:00;21;mié\,;PM25;P2;190,317;PM25;SINCA;60
04-06-2025 21:00;21;mié\,;PM25;P3;179,017;PM25;SINCA;60
04-06-2025 21:00;21;mié\,;PM25;P4;214,967;PM25;SINCA;60
04-06-2025 21:00;21;mié\,;PM25;P5;202,567;PM25;SINCA;60
04-06-2025 22:00;22;mié\,;PM25;P1;167,433;PM25;SINCA;47
04-06-2025 22:00;22;mié\,;PM25;P2;171,867;PM25;SINCA;47
04-06-2025 22:00;22;mié\,;PM25;P3;164,383;PM25;SINCA;47
04-06-2025 22:00;22;mié\,;PM25;P4;191,35;PM25;SINCA;47
04-06-2025 22:00;22;mié\,;PM25;P5;181,833;PM25;SINCA;47
04-06-2025 23:00;23;mié\,;PM25;P1;160,317;PM25;SINCA;39
