"sensor";"referencia";"predicho";"error";"error_abs";"Clasificacion"
"PM25_P4";10;3,32503504865087;-6,67496495134913;6,67496495134913;"Calibrados"
"PM25_P4";10;9,19629871637404;-0,803701283625962;0,803701283625962;"Calibrados"
"PM25_P4";10;14,9630227561834;4,96302275618343;4,96302275618343;"Calibrados"
"PM25_P4";22;23,3432374938375;1,34323749383746;1,34323749383746;"Calibrados"
"PM25_P4";36;33,1438276107549;-2,85617238924511;2,85617238924511;"Calibrados"
"PM25_P4";40;29,32756304175;-10,67243695825;10,67243695825;"Calibrados"
"PM25_P4";32;27,9259366174929;-4,07406338250713;4,07406338250713;"Calibrados"
"PM25_P4";41;29,74401710295;-11,25598289705;11,25598289705;"Calibrados"
"PM25_P4";39;31,7518597390768;-7,24814026092323;7,24814026092323;"Calibrados"
"PM25_P4";37;30,2934182996491;-6,70658170035089;6,70658170035089;"Calibrados"
"PM25_P4";34;29,7820831631143;-4,21791683688571;4,21791683688571;"Calibrados"
"PM25_P4";32;28,7594128900447;-3,24058710995535;3,24058710995535;"Calibrados"
"PM25_P4";28;27,746401169554;-0,253598830446016;0,253598830446016;"Calibrados"
"PM25_P4";23;21,809232084233;-1,190767915767;1,190767915767;"Calibrados"
"PM25_P4";14;22,8887173724732;8,88871737247317;8,88871737247317;"Calibrados"
"PM25_P4";39;59,3923646195425;20,3923646195425;20,3923646195425;"Calibrados"
"PM25_P4";35;54,5818372850532;19,5818372850532;19,5818372850532;"Calibrados"
"PM25_P4";39;52,8870453825161;13,8870453825161;13,8870453825161;"Calibrados"
"PM25_P4";33;47,7736940171679;14,7736940171679;14,7736940171679;"Calibrados"
"PM25_P4";38;55,7937015586407;17,7937015586407;17,7937015586407;"Calibrados"
"PM25_P4";38;53,4358784290635;15,4358784290635;15,4358784290635;"Calibrados"
"PM25_P4";37;50,2542375795135;13,2542375795135;13,2542375795135;"Calibrados"
"PM25_P4";40;45,6522213507001;5,65222135070005;5,65222135070005;"Calibrados"
"PM25_P4";46;46,2584375625697;0,258437562569675;0,258437562569675;"Calibrados"
"PM25_P4";52;41,5711988110005;-10,4288011889995;10,4288011889995;"Calibrados"
"PM25_P4";57;46,0311775018875;-10,9688224981125;10,9688224981125;"Calibrados"
"PM25_P4";56;51,4189453905094;-4,58105460949056;4,58105460949056;"Calibrados"
"PM25_P4";60;53,0194243678634;-6,98057563213656;6,98057563213656;"Calibrados"
"PM25_P4";63;58,1799321958032;-4,82006780419679;4,82006780419679;"Calibrados"
"PM25_P4";59;58,8526219754224;-0,147378024577641;0,147378024577641;"Calibrados"
"PM25_P4";65;62,9620520227072;-2,0379479772928;2,0379479772928;"Calibrados"
"PM25_P4";35;39,8764069084634;4,87640690846339;4,87640690846339;"Calibrados"
"PM25_P4";35;33,8631057028139;-1,13689429718614;1,13689429718614;"Calibrados"
"PM25_P4";28;33,371087671437;5,37108767143703;5,37108767143703;"Calibrados"
"PM25_P4";13;23,5511804493616;10,5511804493616;10,5511804493616;"Calibrados"
"PM25_P4";12;23,5608390019406;11,5608390019406;11,5608390019406;"Calibrados"
"PM25_P4";8;22,1308050700982;14,1308050700982;14,1308050700982;"Calibrados"
"PM25_P4";16;23,693217987288;7,69321798728797;7,69321798728797;"Calibrados"
"PM25_P4";7;18,1350050531544;11,1350050531544;11,1350050531544;"Calibrados"
"PM25_P4";8;16,4873696132089;8,48736961320891;8,48736961320891;"Calibrados"
"PM25_P4";11;22,5478272814499;11,5478272814499;11,5478272814499;"Calibrados"
"PM25_P4";17;24,8391768432777;7,83917684327768;7,83917684327768;"Calibrados"
"PM25_P4";11;23,1159774331553;12,1159774331553;12,1159774331553;"Calibrados"
"PM25_P4";12;21,3547119628687;9,3547119628687;9,3547119628687;"Calibrados"
"PM25_P4";11;17,8225224697165;6,8225224697165;6,8225224697165;"Calibrados"
"PM25_P4";9;10,1524954216941;1,15249542169415;1,15249542169415;"Calibrados"
"PM25_P4";12;15,9572855216678;3,95728552166781;3,95728552166781;"Calibrados"
"PM25_P4";17;24,5170357072607;7,51703570726072;7,51703570726072;"Calibrados"
"PM25_P4";12;19,6025368950094;7,60253689500937;7,60253689500937;"Calibrados"
"PM25_P4";10;16,2220434923625;6,22204349236249;6,22204349236249;"Calibrados"
"PM25_P4";10;18,5991837270977;8,59918372709772;8,59918372709772;"Calibrados"
"PM25_P4";16;20,0763741215317;4,07637412153165;4,07637412153165;"Calibrados"
"PM25_P4";20;22,6898648193763;2,68986481937629;2,68986481937629;"Calibrados"
"PM25_P4";20;24,3659077669071;4,36590776690711;4,36590776690711;"Calibrados"
"PM25_P4";23;24,9431483210398;1,94314832103975;1,94314832103975;"Calibrados"
"PM25_P4";22;26,0135432068527;4,01354320685265;4,01354320685265;"Calibrados"
"PM25_P4";27;28,5702188895268;1,57021888952676;1,57021888952676;"Calibrados"
"PM25_P4";25;29,9712771636322;4,97127716363216;4,97127716363216;"Calibrados"
"PM25_P4";19;28,2009212909183;9,20092129091828;9,20092129091828;"Calibrados"
"PM25_P4";24;27,1782510178486;3,17825101784863;3,17825101784863;"Calibrados"
"PM25_P4";16;27,9452537226509;11,9452537226509;11,9452537226509;"Calibrados"
"PM25_P4";20;24,4130642294987;4,41306422949865;4,41306422949865;"Calibrados"
"PM25_P4";16;23,5040239867701;7,50402398677009;7,50402398677009;"Calibrados"
"PM25_P4";12;22,0080846373299;10,0080846373299;10,0080846373299;"Calibrados"
"PM25_P4";10;18,305450098666;8,30545009866605;8,30545009866605;"Calibrados"
"PM25_P4";9;16,3265831202763;7,32658312027629;7,32658312027629;"Calibrados"
"PM25_P4";6;11,0427867094165;5,04278670941645;5,04278670941645;"Calibrados"
"PM25_P4";7;7,31174466316736;0,31174466316736;0,31174466316736;"Calibrados"
"PM25_P4";8;6,0430653744093;-1,9569346255907;1,9569346255907;"Calibrados"
"PM25_P4";7;5,68285817822811;-1,31714182177189;1,31714182177189;"Calibrados"
"PM25_P4";12;5,30447017719233;-6,69552982280767;6,69552982280767;"Calibrados"
"PM25_P4";11;9,32867770172138;-1,67132229827862;1,67132229827862;"Calibrados"
"PM25_P4";11;13,9306939305348;2,93069393053479;2,93069393053479;"Calibrados"
"PM25_P4";10;13,5142398693348;3,51423986933477;3,51423986933477;"Calibrados"
"PM25_P4";21;14,707355187916;-6,29264481208399;6,29264481208399;"Calibrados"
"PM25_P4";19;20,1990945543;1,19909455430001;1,19909455430001;"Calibrados"
"PM25_P4";33;25,5965209955009;-7,40347900449908;7,40347900449908;"Calibrados"
"PM25_P4";38;28,7025978748741;-9,29740212512591;9,29740212512591;"Calibrados"
"PM25_P4";40;30,3502333148196;-9,64976668518036;9,64976668518036;"Calibrados"
"PM25_P4";39;30,8615684513545;-8,13843154864553;8,13843154864553;"Calibrados"
"PM25_P4";31;26,9316738520085;-4,06832614799149;4,06832614799149;"Calibrados"
"PM25_P4";25;23,6557200772754;-1,34427992272459;1,34427992272459;"Calibrados"
"PM25_P4";29;25,4260759499893;-3,5739240500107;3,5739240500107;"Calibrados"
"PM25_P4";27;26,8089534192401;-0,191046580759867;0,191046580759867;"Calibrados"
"PM25_P4";22;23,38073540385;1,38073540385002;1,38073540385002;"Calibrados"
"PM25_P4";16;21,6859435013129;5,68594350131293;5,68594350131293;"Calibrados"
"PM25_P4";12;15,1709657117076;3,17096571170759;3,17096571170759;"Calibrados"
"PM25_P4";7;7,98386629263481;0,983866292634808;0,983866292634808;"Calibrados"
"PM25_P4";4;4,85904045825534;0,859040458255336;0,859040458255336;"Calibrados"
"PM25_P4";2;2,97505455520037;0,975054555200366;0,975054555200366;"Calibrados"
"PM25_P4";2;2,20805185039813;0,208051850398128;0,208051850398128;"Calibrados"
"PM25_P4";1;2,44440231350756;1,44440231350756;1,44440231350756;"Calibrados"
"PM25_P4";2;2,30236477558122;0,302364775581225;0,302364775581225;"Calibrados"
"PM25_P4";7;3,53354615432674;-3,46645384567326;3,46645384567326;"Calibrados"
"PM25_P4";14;6,48792694319459;-7,51207305680541;7,51207305680541;"Calibrados"
"PM25_P4";14;10,9763131416669;-3,02368685833307;3,02368685833307;"Calibrados"
"PM25_P4";23;18,7315627124451;-4,26843728755492;4,26843728755492;"Calibrados"
"PM25_P4";21;15,9192194615035;-5,08078053849646;5,08078053849646;"Calibrados"
"PM25_P4";26;22,4057897435236;-3,59421025647638;3,59421025647638;"Calibrados"
"PM25_P4";44;30,4638633451607;-13,5361366548393;13,5361366548393;"Calibrados"
"PM25_P4";48;37,5185837788862;-10,4814162211138;10,4814162211138;"Calibrados"
"PM25_P4";53;36,9788411347661;-16,0211588652339;16,0211588652339;"Calibrados"
"PM25_P4";43;30,7479384210134;-12,2520615789866;12,2520615789866;"Calibrados"
"PM25_P4";44;33,0773540430054;-10,9226459569946;10,9226459569946;"Calibrados"
"PM25_P4";42;35,7760672636058;-6,22393273639418;6,22393273639418;"Calibrados"
"PM25_P4";39;35,1414435441509;-3,85855645584908;3,85855645584908;"Calibrados"
"PM25_P4";37;35,681186188271;-1,31881381172898;1,31881381172898;"Calibrados"
"PM25_P4";36;33,2858651486812;-2,71413485131877;2,71413485131877;"Calibrados"
"PM25_P4";39;34,7346480355299;-4,26535196447011;4,26535196447011;"Calibrados"
"PM25_P4";30;33,8256077928013;3,82560779280133;3,82560779280133;"Calibrados"
"PM25_P4";22;28,7213468298804;6,72134682988038;6,72134682988038;"Calibrados"
"PM25_P4";25;30,3882993749839;5,38829937498391;5,38829937498391;"Calibrados"
"PM25_P4";29;43,0483892054344;14,0483892054344;14,0483892054344;"Calibrados"
"PM25_P4";26;41,5331327508362;15,5331327508362;15,5331327508362;"Calibrados"
"PM25_P4";27;39,4025696819411;12,4025696819411;12,4025696819411;"Calibrados"
"PM25_P4";29;37,8214078097451;8,8214078097451;8,8214078097451;"Calibrados"
"PM25_P4";31;37,0163390447786;6,01633904477861;6,01633904477861;"Calibrados"
"PM25_P4";33;35,1698510517362;2,1698510517362;2,1698510517362;"Calibrados"
"PM25_P4";32;34,9425909910541;2,94259099105405;2,94259099105405;"Calibrados"
"PM25_P4";36;36,6470414461701;0,647041446170128;0,647041446170128;"Calibrados"
"PM25_P4";39;40,7945375536192;1,79453755361924;1,79453755361924;"Calibrados"
"PM25_P4";41;41,1450861972215;0,145086197221453;0,145086197221453;"Calibrados"
"PM25_P4";45;40,3116099246697;-4,6883900753303;4,6883900753303;"Calibrados"
"PM25_P4";53;45,2829237520916;-7,71707624790842;7,71707624790842;"Calibrados"
"PM25_P4";56;54,8943198684911;-1,10568013150887;1,10568013150887;"Calibrados"
"PM25_P4";59;61,9774478098018;2,97744780980182;2,97744780980182;"Calibrados"
"PM25_P4";54;62,3939018710019;8,39390187100185;8,39390187100185;"Calibrados"
"PM25_P4";59;63,1609045758041;4,16090457580409;4,16090457580409;"Calibrados"
"PM25_P4";59;61,446795568109;2,44679556810902;2,44679556810902;"Calibrados"
"PM25_P4";61;62,8671709473724;1,86717094737242;1,86717094737242;"Calibrados"
"PM25_P4";62;62,6876354994335;0,687635499433519;0,687635499433519;"Calibrados"
"PM25_P4";63;62,5262808563492;-0,47371914365079;0,47371914365079;"Calibrados"
"PM25_P4";56;56,3334442027608;0,333444202760795;0,333444202760795;"Calibrados"
"PM25_P4";50;52,5552456939202;2,55524569392016;2,55524569392016;"Calibrados"
"PM25_P4";50;49,904257086063;-0,0957429139370376;0,0957429139370376;"Calibrados"
"PM25_P4";43;48,407749586471;5,40774958647105;5,40774958647105;"Calibrados"
"PM25_P4";42;50,4627486851893;8,46274868518933;8,46274868518933;"Calibrados"
"PM25_P4";44;51,921190124617;7,92119012461699;7,92119012461699;"Calibrados"
"PM25_P4";39;50,9172688065536;11,9172688065536;11,9172688065536;"Calibrados"
"PM25_P4";38;52,5177477839076;14,5177477839076;14,5177477839076;"Calibrados"
"PM25_P4";40;50,1690150567577;10,1690150567577;10,1690150567577;"Calibrados"
"PM25_P4";42;48,6066021395679;6,60660213956792;6,60660213956792;"Calibrados"
"PM25_P4";45;45,4817763051885;0,481776305188454;0,481776305188454;"Calibrados"
"PM25_P4";51;48,3225270637152;-2,67747293628475;2,67747293628475;"Calibrados"
"PM25_P4";48;35,2459831720647;-12,7540168279353;12,7540168279353;"Calibrados"
"PM25_P4";54;37,0544051049429;-16,9455948950571;16,9455948950571;"Calibrados"
"PM25_P4";64;44,2983195391862;-19,7016804608138;19,7016804608138;"Calibrados"
"PM25_P4";73;48,729890722488;-24,270109277512;24,270109277512;"Calibrados"
"PM25_P4";66;46,4856976232518;-19,5143023767482;19,5143023767482;"Calibrados"
"PM25_P4";71;54,7710312855711;-16,2289687144289;16,2289687144289;"Calibrados"
