date;PM25_P1;PM25_P2;PM25_P3;PM25_P4;PM25_P5;PM25_SINCA;hour;wday
06-06-2025 22:00;157,9;163,383;157,167;188,667;170,5;43;22;vie\,
06-06-2025 23:00;158,233;163,417;156,917;187,833;170,433;49;23;vie\,
07-06-2025;159,433;164,667;158,067;190,317;171,983;39;0;sáb\,
07-06-2025 1:00;160,367;164,967;158,2;191,217;173,067;40;1;sáb\,
07-06-2025 2:00;160,083;165,283;158,667;191,4;172,917;46;2;sáb\,
07-06-2025 3:00;160,017;165,367;158,233;190,5;171,65;43;3;sáb\,
07-06-2025 4:00;159,65;164,583;157,45;188,633;170,033;43;4;sáb\,
07-06-2025 5:00;159,917;165,017;157,1;188,117;169,017;41;5;sáb\,
07-06-2025 6:00;159,583;163,433;156,1;184,717;167,667;39;6;sáb\,
07-06-2025 7:00;158,967;162,483;154,767;180,133;166,2;29;7;sáb\,
07-06-2025 8:00;155,967;159,4;152,817;173,867;163,767;29;8;sáb\,
07-06-2025 9:00;159,683;163,783;157,8;184,483;171,567;43;9;sáb\,
07-06-2025 10:00;164,967;171,183;163,2;194,35;181;51;10;sáb\,
07-06-2025 11:00;164,45;171,25;165,55;186,333;179,8;57;11;sáb\,
07-06-2025 12:00;164,333;171,333;166,567;185,783;182,067;63;12;sáb\,
07-06-2025 13:00;163,183;169,65;164,867;185,9;180,8;61;13;sáb\,
07-06-2025 14:00;158,95;165,283;160,567;182,45;175,317;59;14;sáb\,
07-06-2025 15:00;152,3;157,733;153,95;173,917;167,15;56;15;sáb\,
07-06-2025 16:00;169,317;175,75;170,117;200,417;185,85;73;16;sáb\,
07-06-2025 17:00;178,6;184,117;175,817;219,267;198,233;79;17;sáb\,
07-06-2025 18:00;179,567;183,517;171,8;223,35;195,767;75;18;sáb\,
07-06-2025 19:00;181,833;186,367;173,617;227,883;197,667;74;19;sáb\,
07-06-2025 20:00;178,183;183,967;172,017;221;196,333;81;20;sáb\,
07-06-2025 21:00;171,683;176,3;166,917;208,617;188,183;62;21;sáb\,
07-06-2025 22:00;164,567;169,2;162,783;193,733;177,933;59;22;sáb\,
07-06-2025 23:00;157,45;161,4;156,15;176,417;166,467;48;23;sáb\,
08-06-2025;151,75;154,967;150,167;165,817;160,65;44;0;dom\,
08-06-2025 1:00;146,367;148,7;144,183;160,167;155,283;32;1;dom\,
08-06-2025 2:00;138,783;140,233;135,733;152,317;147;25;2;dom\,
08-06-2025 3:00;138,533;140,067;136,383;150,567;146,167;28;3;dom\,
08-06-2025 4:00;137,917;139,75;135,433;151,85;146,583;26;4;dom\,
08-06-2025 5:00;131,45;132,05;127,75;144,8;138,85;17;5;dom\,
08-06-2025 6:00;144,75;147,133;141,283;162,75;154,4;35;6;dom\,
08-06-2025 7:00;130,133;130,317;126,45;144,2;138,65;18;7;dom\,
08-06-2025 8:00;111,833;111,25;109,15;125,183;118,65;11;8;dom\,
08-06-2025 9:00;117,217;116,433;113,817;127,217;124,933;13;9;dom\,
08-06-2025 10:00;125,233;126,85;124,217;134,9;132,367;18;10;dom\,
08-06-2025 11:00;135,217;137,983;135,9;146,8;143,583;25;11;dom\,
08-06-2025 12:00;139,467;142,183;140,65;150,117;148,183;30;12;dom\,
08-06-2025 13:00;136,467;138,567;137,133;145,717;144,883;27;13;dom\,
08-06-2025 14:00;146,4;149,267;147,683;158,4;156,617;42;14;dom\,
08-06-2025 15:00;148,4;151,467;149,833;165,25;159,9;43;15;dom\,
08-06-2025 16:00;149,033;153,1;150,55;169,3;161,217;47;16;dom\,
08-06-2025 17:00;153,367;156,9;152,317;174,917;165,75;59;17;dom\,
08-06-2025 18:00;155,383;159,283;154,083;175,85;164,95;47;18;dom\,
08-06-2025 19:00;150,4;153,767;149,567;163,333;159,3;45;19;dom\,
08-06-2025 20:00;145,033;147,867;143,617;156,867;153,783;29;20;dom\,
08-06-2025 21:00;142,7;145,367;141,033;154,167;151,133;29;21;dom\,
08-06-2025 22:00;137,7;139,65;135,9;149,117;145,983;27;22;dom\,
08-06-2025 23:00;120,767;120,517;117,083;130,967;128,4;14;23;dom\,
09-06-2025;124,383;125,2;121,283;135,217;131,883;17;0;lun\,
09-06-2025 1:00;123,133;123,233;118,717;134,7;131,033;15;1;lun\,
09-06-2025 2:00;110,917;109,967;108,5;121,1;117,833;9;2;lun\,
09-06-2025 3:00;105,1;105,25;104,767;112,067;111,067;13;3;lun\,
09-06-2025 4:00;105,15;105,267;104,467;115,85;111,25;8;4;lun\,
09-06-2025 5:00;100,933;101,433;101,667;106,5;106,567;3;5;lun\,
09-06-2025 6:00;98,283;99,1;100,067;103,983;103,4;4;6;lun\,
09-06-2025 7:00;98,4;99,117;100,167;106,383;103,533;4;7;lun\,
09-06-2025 8:00;99,483;100,067;100,817;102,55;104,567;6;8;lun\,
09-06-2025 9:00;103,583;104,4;105,117;105,35;109,05;16;9;lun\,
09-06-2025 10:00;100,717;101,667;102,4;102,833;105,8;11;10;lun\,
09-06-2025 11:00;111,733;113,517;112,683;114,217;118,467;16;11;lun\,
09-06-2025 12:00;119,933;121,717;120,633;124,2;127,117;21;12;lun\,
09-06-2025 13:00;118,683;120,1;119;125,75;126,233;18;13;lun\,
09-06-2025 14:00;107,433;108,933;107,817;112,017;113,917;8;14;lun\,
09-06-2025 15:00;117,15;118,717;118,083;122,55;124,017;19;15;lun\,
09-06-2025 16:00;143,55;146,583;145,167;154,033;152,5;45;16;lun\,
09-06-2025 17:00;144,733;147,367;144,633;153,5;153,233;46;17;lun\,
09-06-2025 18:00;142,35;145,067;141,7;149,883;149,75;46;18;lun\,
09-06-2025 19:00;127,35;128,7;126,783;134,8;135,483;23;19;lun\,
09-06-2025 20:00;110,8;110,433;109,717;116,033;117,55;14;20;lun\,
09-06-2025 21:00;106,1;106,3;106,25;109,7;111,817;12;21;lun\,
09-06-2025 22:00;101,367;101,583;102,217;105,067;106,583;6;22;lun\,
09-06-2025 23:00;99,567;100;100,65;103,367;104,617;4;23;lun\,
10-06-2025;98,95;99,483;100,25;102,933;104,217;3;0;mar\,
10-06-2025 1:00;98,133;99;100;102,017;103,033;2;1;mar\,
10-06-2025 2:00;98;99;100;102;103;2;2;mar\,
10-06-2025 3:00;98;99;100;102;103;1;3;mar\,
10-06-2025 4:00;98;99;100;102;103;2;4;mar\,
10-06-2025 5:00;98;99;100;102;103;2;5;mar\,
10-06-2025 6:00;98;99;100;102;103;1;6;mar\,
10-06-2025 7:00;98;99;100;102;103;1;7;mar\,
10-06-2025 8:00;98,433;99,333;100,333;102,183;103,483;4;8;mar\,
10-06-2025 9:00;98,133;99,05;100,067;102,017;103,2;7;9;mar\,
10-06-2025 10:00;98,233;99,25;100,167;102;103,15;4;10;mar\,
10-06-2025 11:00;98,2;99,25;100,3;102,083;103,333;5;11;mar\,
10-06-2025 12:00;105,45;107,167;107,233;107,9;111,533;8;12;mar\,
10-06-2025 13:00;118,7;120,417;119,933;120,2;125,75;10;13;mar\,
10-06-2025 14:00;112,683;114,117;113,85;114;119,433;10;14;mar\,
10-06-2025 15:00;127,817;129,617;128,95;133,05;135,483;17;15;mar\,
10-06-2025 16:00;131,083;133,017;132,283;136,7;138,517;22;16;mar\,
10-06-2025 17:00;132,4;134,583;133,25;137,917;139,85;27;17;mar\,
10-06-2025 18:00;126,6;128,033;126,783;131,017;133,467;23;18;mar\,
10-06-2025 19:00;118,017;118,35;117,083;122,133;124,5;15;19;mar\,
10-06-2025 20:00;120,6;121,017;120,7;124,717;127,25;16;20;mar\,
10-06-2025 21:00;121,783;122,783;121,367;126,65;128,85;18;21;mar\,
10-06-2025 22:00;113,567;113,45;112,467;118,45;120,65;10;22;mar\,
10-06-2025 23:00;108,8;108,95;108,883;113,467;115,583;9;23;mar\,
11-06-2025;108,217;108,4;107,85;112,65;114,567;8;0;mié\,
11-06-2025 1:00;103,15;103,65;103,75;106,917;108,783;6;1;mié\,
11-06-2025 2:00;100,733;101,033;101,95;104,633;106,15;7;2;mié\,
11-06-2025 3:00;99,567;100,017;100,8;103,45;104,85;5;3;mié\,
11-06-2025 4:00;98,183;99;100,017;102,083;103,25;2;4;mié\,
11-06-2025 5:00;98,1;99,017;100;102,083;103,117;2;5;mié\,
11-06-2025 6:00;98;99;100;102;103;3;6;mié\,
11-06-2025 7:00;104,7;104,533;104,533;109,367;110,033;4;7;mié\,
11-06-2025 8:00;146,6;149,2;143,867;162,983;156;35;8;mié\,
11-06-2025 9:00;158,75;163,567;157,25;180,2;170,95;37;9;mié\,
11-06-2025 10:00;151,517;155,583;150,383;164;162,433;34;10;mié\,
11-06-2025 11:00;150,883;155,65;150,5;165,783;161,883;33;11;mié\,
11-06-2025 12:00;152,933;158,083;153,183;172,2;164,383;40;12;mié\,
11-06-2025 13:00;154,083;158,767;154,117;176,183;166,033;40;13;mié\,
11-06-2025 14:00;154,717;159,75;155,033;176,15;168,883;51;14;mié\,
11-06-2025 15:00;157,233;162,05;157,033;183,383;172,6;49;15;mié\,
11-06-2025 16:00;154,767;159,083;153,883;180,183;166,2;42;16;mié\,
